precture,prefectureLabel,person,personLabel
Q35581,北海道,Q11649100,鈴木直道
Q71699,青森県,Q174982,三村申吾
Q48326,岩手県,Q49869,達増拓也
Q47896,宮城県,Q377940,村井嘉浩
Q81863,秋田県,Q438468,佐竹敬久
Q125863,山形県,Q529418,吉村美栄子
Q71707,福島県,Q17989197,内堀雅雄
Q83273,茨城県,Q38081041,大井川和彦
Q44843,栃木県,Q455915,福田富一
Q129499,群馬県,Q1655599,山本一太
Q128186,埼玉県,Q6140287,大野元裕
Q80011,千葉県,Q11568706,熊谷俊人
Q1490,東京都,Q261703,小池百合子
Q127513,神奈川県,Q655960,黒岩祐治
Q132705,新潟県,Q54913364,花角英世
Q132929,富山県,Q50640705,新田八朗
Q131281,石川県,Q3136350,馳浩
Q133879,福井県,Q67498535,杉本達治
Q132720,山梨県,Q6433881,長崎幸太郎
Q127877,長野県,Q2280320,阿部守一
Q131277,岐阜県,Q982638,古田肇
Q131320,静岡県,Q1505020,川勝平太
Q80434,愛知県,Q1617350,大村秀章
Q128196,三重県,Q100454684,一見勝之
Q131358,滋賀県,Q7676684,三日月大造
Q120730,京都府,Q50824931,西脇隆俊
Q122723,大阪府,Q21529384,吉村洋文
Q130290,兵庫県,Q107917854,斎藤元彦
Q131287,奈良県,Q1247261,荒井正吾
Q131314,和歌山県,Q453168,仁坂吉伸
Q133935,鳥取県,Q1326985,平井伸治
Q132751,島根県,Q64783824,丸山達也
Q132936,岡山県,Q11379176,伊原木隆太
Q617375,広島県,Q1485068,湯崎英彦
Q127264,山口県,Q15830756,村岡嗣政
Q160734,徳島県,Q1670854,飯泉嘉門
Q161454,香川県,Q1738107,浜田恵造
Q123376,愛媛県,Q2438992,中村時広
Q134093,高知県,Q80073979,浜田省司
Q123258,福岡県,Q95162957,服部誠太郎
Q160420,佐賀県,Q18818272,山口祥義
Q169376,長崎県,Q111097857,大石賢吾
Q130308,熊本県,Q1658176,蒲島郁夫
Q133924,大分県,Q1736802,広瀬勝貞
Q130300,宮崎県,Q1804854,河野俊嗣
Q15701,鹿児島県,Q97291648,塩田康一
Q766445,沖縄県,Q11572466,玉城康裕
